,bookId,status,tags,score,scorerCount,title,author,cover,countWord,updateAt,caseId
4,238459,0,"['打脸', '快穿', '爽文', '复仇虐渣', '原创-言情-架空历史-爱情']",6.6,27,炮灰不想死（快穿）,缓归矣,779268,https://bbs-static.jjwxc.net/upload/202007/31/31-534d828.jpg,2021-02-23T15:19:51.000Z,0
5,218219,0,"['猎人', '异世大陆', '爽文', '衍生-纯爱-架空历史-东方衍生']",8.0,22,[全职猎人]你来自黑暗大陆,阎罗心,123388,https://huiji-public.huijistatic.com/dontstarve/uploads/7/7d/Wendy_Gladiator.png,2021-02-01T14:22:53.000Z,0
6,248230,0,"['科幻', '时空穿梭']",5.5,32,白金之躯,一只眼的,652800,https://qidian.qpic.cn/qdbimg/349573/1019721569/300,2021-02-24T16:00:00.000Z,0
7,245795,1,"['宫廷侯爵', '天之骄子', '直播', '朝堂之上', '原创-无CP-架空历史-剧情']",5.8,30,全天下都知道我会当皇帝,长恨歌行,380472,http://i9-static.jjwxc.net/novelimage.php?novelid=4889961&coverid=13&ver=745e5df3602f0175a02c7d68a968bc81,2021-02-10T13:54:20.000Z,0
8,247341,0,"['奇幻', '剑与魔法']",3.7,47,血税,大瓜熊,939300,https://qidian.qpic.cn/qdbimg/349573/1023811878/300,2021-03-01T06:31:20.000Z,0
9,240507,1,"['玄幻', '东方玄幻']",5.6,31,不可名状的大航海,卖盘的狐狸,437000,https://qidian.qpic.cn/qdbimg/349573/1023451429/300,2020-12-26T16:00:00.000Z,0
10,228035,0,['历史军事'],4.8,36,一个人的明末,没事打两枪,925000,https://alioss.youdubook.com/uploads/20200403/7b40e2100959b715ed9af726b3094a00.jpg,2021-03-01T15:59:00.000Z,0
11,244157,0,"['轻小说', '衍生同人']",4.8,36,木叶之光,高烧三十六度,718500,https://qidian.qpic.cn/qdbimg/349573/1023819689/300,2021-03-01T13:29:58.000Z,0
12,232975,0,"['少女漫', '奇幻魔幻', '异世大陆', '现代架空', '衍生-言情-幻想未来-其他衍生']",6.9,25,三周目的我才发现这不是战略游戏,无颐庭,189291,https://s1.ax1x.com/2020/07/07/UFhqiR.jpg,2021-01-20T18:22:51.000Z,0
13,211130,0,"['奇幻', '史诗奇幻']",4.4,39,这个法师很危险,阁下贵姓,615800,https://qidian.qpic.cn/qdbimg/349573/1020202542/300,2021-02-27T15:58:04.000Z,0
14,174816,0,"['科幻', '时空穿梭']",4.9,35,学霸的无限,桔子泛泛,888700,https://qidian.qpic.cn/qdbimg/349573/1016521140/300,2021-02-27T11:47:01.000Z,0
15,248656,0,"['轻小说', '衍生同人']",5.5,31,我在火影重建苇名,共平,271000,https://qidian.qpic.cn/qdbimg/349573/1023943235/300,2021-03-01T13:17:55.000Z,0
16,40448,1,"['同人小说', '影视同人']",4.1,41,武侠之镇世明皇,飞卢一片云,320000,http://img.faloo.com/Novel/498x705/0/144/000144484.jpg,2021-01-05T16:00:00.000Z,0
17,230917,1,"['玄幻', '东方玄幻']",4.8,35,编写神话,白鹿东行,598700,https://qidian.qpic.cn/qdbimg/349573/1020431683/300,2020-12-03T16:00:00.000Z,0
18,240843,0,['科幻时空'],6.7,25,赛博时代的历史观测者,求同存异常,270700,https://alioss.youdubook.com/uploads/20200903/4f5468347dc6be2893222336758ced07.jpg,2021-02-27T17:58:21.000Z,0
19,139608,0,"['宅文', '玄幻奇幻']",4.6,36,我，太阳,一个有深度的名字,717745,https://c1.kuangxiangit.com/uploads/allimg/c171215/15-12-17002855-31390.jpg,2020-09-16T04:00:02.000Z,0
0,247327,1,"['清穿', '宫廷侯爵', '种田文', '历史衍生', '衍生-言情-古色古香-古典衍生']",6.0,33,清穿之贵妃长寿,花气薰人欲破禅,484757,https://shop.io.mi-img.com/app/shop/img?id=shop_811f2c88e4faf4b1916ec98a5eecef7b.jpeg,2021-01-11T10:00:02.000Z,0
1,251608,0,"['穿越时空', '民国旧影', '打脸', '爽文', '原创-纯爱-近代现代-轻小说']",7.9,22,回到民国当导演,拉棉花糖的兔子,174203,https://wx2.sinaimg.cn/mw690/006pQAwSgy1gltb7ncdz6j31tm2jv4qq.jpg,2021-03-01T12:00:29.000Z,0
2,244027,0,['玄幻'],6.2,28,女尊世界的白莲花,醉皓月,688000,http://images.xxsy.net/bimg/1470748.jpg,2021-02-15T23:47:20.000Z,0
3,162517,0,"['强强', '恐怖', '无限流', '日韩', '衍生-言情-近代现代-其他衍生']",6.8,25,[综恐]每天都在庆幸自己还活着,青城小巷,520336,https://i.loli.net/2020/06/23/8KrkIRTj1fpw5ui.jpg,2020-12-31T06:02:23.000Z,0
4,230151,0,"['科幻', '种田文', '星际', '原创-言情-幻想未来-传奇']",6.8,25,三人荒野,浴火小熊猫,831220,http://i4-static.jjwxc.net/tmp/backend/authorspace/s1/4/3106/310504/20200414093916_200_280.jpg,2021-02-28T10:58:57.000Z,0
5,230604,0,"['科幻', '末世危机']",4.8,35,我老婆是邪神,黑暗荔枝,870699,https://qidian.qpic.cn/qdbimg/349573/1021393860/300,2021-03-01T11:31:00.000Z,0
6,251333,0,"['都市', '娱乐明星']",5.6,30,文化前线,青城无忌,257399,https://qidian.qpic.cn/qdbimg/349573/1025678890/300,2021-03-01T13:16:40.000Z,0
7,163303,1,"['轻小说', '原生幻想']",4.3,39,直死蓝龙,翡翠炒饭,687600,https://qidian.qpic.cn/qdbimg/349573/1013961365/300,2020-12-02T16:00:00.000Z,0
8,178754,0,"['历史', '两晋隋唐']",5.4,31,唐徒,此而非,701900,https://qidian.qpic.cn/qdbimg/349573/1017205022/300,2020-12-31T16:00:00.000Z,0
9,248058,0,"['都市', '都市生活']",5.4,31,好大哥系统,多情的象拔蚌,747300,https://qidian.qpic.cn/qdbimg/349573/1023822182/300,2021-02-05T16:00:00.000Z,0
10,248937,0,"['科幻', '时空穿梭']",4.9,34,诸天最强猎魔人,苦大且仇深,533900,https://qidian.qpic.cn/qdbimg/349573/1024049738/300,2021-03-01T15:07:00.000Z,0
11,231396,1,"['历史衍生', '打脸', '古典名著', '爽文', '衍生-无CP-古色古香-东方衍生']",6.4,26,[三国]得罪魏国全员后我走上了人生巅峰,积羽成扇,315349,https://wx4.sinaimg.cn/mw690/006lzimsly1gm9ohuxrslj308c0boq47.jpg,2020-10-10T15:24:20.000Z,0
12,249826,0,"['轻小说', '衍生同人']",5.2,32,忍界决斗场,李四羊,429500,https://qidian.qpic.cn/qdbimg/349573/1025159165/300,2021-03-01T09:27:30.000Z,0
13,166096,0,"['都市', '异术超能']",5.9,28,宠物修真群,LK临江仙,437600,https://qidian.qpic.cn/qdbimg/349573/1015057495/300,2020-12-25T16:00:00.000Z,0
14,252325,0,"['轻小说', '衍生同人']",5.9,28,混在美剧的金装律师,一梦十五年,127500,https://qidian.qpic.cn/qdbimg/349573/1026185594/300,2021-03-01T22:32:57.000Z,0
15,174336,0,"['娱乐圈', '古穿今', '爽文', '原创-言情-近代现代-爱情']",6.1,27,全后宫出道,仅溯,497448,http://i7-static.jjwxc.net/tmp/backend/authorspace/s1/8/7812/781142/20190927162851_200_280.jpg,2021-01-04T01:47:08.000Z,0
16,175834,0,"['武侠', '传统武侠']",4.0,41,捉刀记,暗月刀,551100,https://qidian.qpic.cn/qdbimg/349573/1017057382/300,2021-02-27T04:31:03.000Z,0
17,203757,1,"['都市', '都市生活']",3.4,48,大制药师系统,二将,936400,https://qidian.qpic.cn/qdbimg/349573/1019375557/300,2021-01-31T16:00:00.000Z,0
18,243931,0,"['科幻', '时空穿梭']",4.8,34,诸天降临之主,猛虎道长,918400,https://qidian.qpic.cn/qdbimg/349573/1023616048/300,2021-03-01T14:57:00.000Z,0
